MATE 100,Materials for Emerging Tech,1010
MATE 101,Fundamentals of Materials,0100
MATE 214,Introduction to Polymers,1000
MATE 221,Intro Mech Behavior of Mate,0100
MATE 240,Thermodynamics of Materials,1000
MATE 245,Kinetics of Materials,0100
MATE 280,Advanced Materials Laboratory,1000
MATE 315,Processing Polymers,0100
MATE 341,Defects in Solids,0100
MATE 345,Processing of Ceramics,0100
MATE 355,Struct & Charact of Cryst Mat,1000
MATE 366,Processing Metallic Materials,1000
MATE 370,Mechanical Behavior of Solids,1000
MATE 410,Case Studies in Materials,0010
MATE 455,Biomedical Materials,1000
MATE 460,Engr Computational Lab,1000
MATE 491,Senior Project Design I,1000
MATE 492,Senior Project Design II,0100
MATE 493,Senior Project Design III,0010
MATH 100,Fundamentals of Mathematics,1100
MATH 101,Introduction to Analysis I,1111
MATH 102,Introduction to Analysis II,1111
MATH 107,Prob & Stat for Lib Arts,1010
MATH 110,Precalculus,1100
MATH 119,Mathematics For Design,0010
MATH 121,Calculus I,1110
MATH 122,Calculus II,1111
MATH 123,Calculus III,1111
MATH 180,Discrete Computat Struct,0110
MATH 181,Mathematical Analysis I,1111
MATH 182,Mathematical Analysis II,1111
MATH 183,Mathematical Analysis III,1111
MATH 200,Multivariate Calculus,1111
MATH 201,Linear Algebra,1111
MATH 205,Survey of Geometry,0000
MATH 210,Differential Equations,1100
MATH 220,Intro to Math Reasoning,1010
MATH 221,Discrete Mathematics,1111
MATH 235,Problem Solving Seminar,1000
MATH 238,History of Mathematics,1010
MATH 239,Math for the Life Sciences,0110
MATH 261,Linear Algebra,1111
MATH 262,Differential Equations,1111
MATH 285,Differential Equations II,0010
MATH 286,Applied Differential Equations,0000
MATH 291,Complex & Vector Analy for Eng,0101
MATH 300,Numerical Analysis,1010
MATH 301,Numerical Analysis II,0101
MATH 305,Intro Optimization Theory,0000
MATH 311,Probability and Statistics I,1110
MATH 312,Probability and Statistics II,0111
MATH 316,Math App of Symbolic Software,1000
MATH 318,Math App of Stat Software,0100
MATH 320,Actuarial Mathematics,0000
MATH 321,Vector Calculus,0100
MATH 322,Complex Variables,1010
MATH 323,Partial Differential Equations,0100
MATH 331,Abstract Algebra I,1000
MATH 332,Abstract Algebra II,0100
MATH 401,Elements of Modern Analysis I,1000
MATH 402,Elements of Modern Analysis II,0100
MATH 410,Scientific Data Analysis I,1010
MATH 411,Scientific Data Analysis II,0101
MATH 422,Introduction to Topology,0000
MATH 449,Mathematical Finance,0000
MATH 450,Introduction to Graph Theory,0000
MATH 475,Cryptography,0000
MATH 480,Spec Topics in Mathematics,0000
MATH 489,Tensor Analysis,0000
MBC 101,Med Term for Billers/Coders,1111
MBC 201,Medical Billing I,1111
MBC 202,Medical Billing II,1111
MBC 250,Medical Billing Software,1111
MBC 301,Physician-Based Med Coding I,1111
MBC 302,Physician-Based Med Coding II,1111
MBC 303,Hospital-Based Med Coding I,1111
MBC 304,Hospital-Based Med Coding II,1111
MBC 350,Physician-Based Chart Auditing,1111
MBC 360,Hospital-Based Case Studies,1111
MEM 201,Funds Cmptr Aided Design,1111
MEM 202,Engr Mechanics-Statics,1111
MEM 220,Basic Fluid Mechanics,0101
MEM 230,Mechanics of Materials I,1010
MEM 238,Dynamics,0111
MEM 255,Introduction to Controls,1101
MEM 310,Thermodynamic Analysis I,1110
MEM 311,Thermal & Fluid Sci Lab,1010
MEM 320,Fluid Dynamics I,1010
MEM 330,Mechanics of Materials II,0101
MEM 331,Experimental Mechanics I,0101
